Date,Open,High,Low,Close,Adj Close,Volume,Ticker,daily_return,MA5,MA10,volatility
2019-01-02,38.72249984741211,39.712501525878906,38.557498931884766,-1.410887253728118,37.79378509521485,148158800,AAPL,,,,
2019-01-04,36.13249969482422,37.13750076293945,35.95000076293945,-1.4410144583791993,35.48192596435547,234428400,AAPL,-0.06117023666486476,,,
2019-01-07,37.17499923706055,37.20750045776367,36.47499847412109,-1.4420436539206474,35.402950286865234,219111200,AAPL,-0.002225831939036249,,,
2019-01-08,37.38999938964844,37.95500183105469,37.130001068115234,-1.4332487361601571,36.07784652709961,164101200,AAPL,0.01906312082634498,,,
2019-01-09,37.8224983215332,38.63249969482422,37.407501220703125,-1.4252647256926931,36.69050216674805,180396400,AAPL,0.016981741682214002,-1.4342497420577347,,
2019-01-10,38.125,38.49250030517578,37.71500015258789,-1.4237365175999146,36.80777740478516,143122800,AAPL,0.003196174424155096,-1.436826245328472,,
2019-01-11,38.220001220703125,38.42499923706055,37.87749862670898,-1.4284458712218553,36.446388244628906,108092800,AAPL,-0.009818008684413626,-1.4343060226727196,,
2019-01-14,37.712501525878906,37.817501068115234,37.30500030517578,-1.435587803957506,35.898345947265625,129756800,AAPL,-0.015037056846080588,-1.433011511274138,,
2019-01-15,37.567501068115234,38.34749984741211,37.51250076293945,-1.4260131969312329,36.63307571411133,114843600,AAPL,0.020466715494791732,-1.4315606584723841,,
2019-01-16,38.27000045776367,38.970001220703125,38.25,-1.4201811364514827,37.08060073852539,122278800,AAPL,0.01221660042928363,-1.4305413094701573,-1.4364204224005177,
2019-01-17,38.54999923706055,39.415000915527344,38.31499862670898,-1.4173118856640163,37.30077362060547,119284800,AAPL,0.005937770455975322,-1.429253057834789,-1.4370663281952714,0.07481285175470169
2019-01-18,39.375,39.470001220703125,38.994998931884766,-1.4143178579444893,37.530517578125,135004000,AAPL,0.006159416849145227,-1.42642014283037,-1.4343823629357748,-0.5004080920748806
2019-01-22,39.102500915527344,39.182498931884766,38.15499877929688,-1.4252958961314803,36.6881103515625,121576000,AAPL,-0.022446142762788446,-1.4243564344000308,-1.4326986129695378,-0.36734453253843696
2019-01-23,38.53749847412109,38.78499984741211,37.92499923706055,-1.4233622819806446,36.83648300170898,92522400,AAPL,0.004044325537150728,-1.423824879354638,-1.4317046699533733,-0.41427471711073344
2019-01-24,38.52750015258789,38.619998931884766,37.935001373291016,-1.4271671694047419,36.54450988769531,101766000,AAPL,-0.00792620345125028,-1.425225701762298,-1.4318959337378305,-0.4488487925297676
2019-01-25,38.869998931884766,39.532501220703125,38.58000183105469,-1.4113862662794487,37.7554817199707,134142000,AAPL,0.03313685435310654,-1.424037510915117,-1.4306542907963913,-0.2725821266715091
2019-01-28,38.9474983215332,39.08250045776367,38.415000915527344,-1.4159396249420855,37.40607070922852,104768400,AAPL,-0.00925451005270439,-1.4243627037055655,-1.429396964770042,-0.27470877854904135
2019-01-29,39.0625,39.532501220703125,38.52750015258789,-1.420992043744509,37.01837158203125,166348800,AAPL,-0.010364749483978586,-1.4234997056488334,-1.4279295676966417,-0.2976422943348525
